File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Adrian\SkyDrive\Schule\Jg_Q1\Facharbeit\Programm\Mühle\Spielbaum.java,52,21,15,2,7,0,24,104,9,44
C:\Users\Adrian\SkyDrive\Schule\Jg_Q1\Facharbeit\Programm\Mühle\Spielfeld.java,181,140,80,37,23,22,18,216,0,0
