Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,2,233,161,95,39,30,22,42,320,9,44
C:\Users\Adrian\SkyDrive\Schule\Jg_Q1\Facharbeit\Programm\Mühle,2,233,161,95,39,30,22,42,320,9,44
